city,total_cases,weekofyear,year
iq,4,26,2010
iq,1,27,2010
iq,5,28,2010
iq,1,29,2010
iq,1,30,2010
iq,2,31,2010
iq,2,32,2010
iq,2,33,2010
iq,2,34,2010
iq,2,35,2010
iq,1,36,2010
iq,2,37,2010
iq,2,38,2010
iq,2,39,2010
iq,2,40,2010
iq,2,41,2010
iq,6,42,2010
iq,5,43,2010
iq,6,44,2010
iq,5,45,2010
iq,5,46,2010
iq,5,47,2010
iq,5,48,2010
iq,5,49,2010
iq,5,50,2010
iq,2,51,2010
iq,3,52,2011
iq,16,1,2011
iq,9,2,2011
iq,9,3,2011
iq,12,4,2011
iq,5,5,2011
iq,10,6,2011
iq,12,7,2011
iq,11,8,2011
iq,12,9,2011
iq,7,10,2011
iq,7,11,2011
iq,6,12,2011
iq,6,13,2011
iq,5,14,2011
iq,6,15,2011
iq,5,16,2011
iq,5,17,2011
iq,5,18,2011
iq,2,19,2011
iq,1,20,2011
iq,5,21,2011
iq,2,22,2011
iq,2,23,2011
iq,2,24,2011
iq,1,25,2011
iq,2,26,2011
iq,2,27,2011
iq,1,28,2011
iq,1,29,2011
iq,1,30,2011
iq,1,31,2011
iq,1,32,2011
iq,2,33,2011
iq,2,34,2011
iq,2,35,2011
iq,2,36,2011
iq,2,37,2011
iq,2,38,2011
iq,3,39,2011
iq,2,40,2011
iq,5,41,2011
iq,5,42,2011
iq,5,43,2011
iq,6,44,2011
iq,5,45,2011
iq,5,46,2011
iq,5,47,2011
iq,5,48,2011
iq,5,49,2011
iq,5,50,2011
iq,5,51,2011
iq,5,52,2012
iq,10,1,2012
iq,10,2,2012
iq,9,3,2012
iq,9,4,2012
iq,11,5,2012
iq,11,6,2012
iq,7,7,2012
iq,5,8,2012
iq,3,9,2012
iq,7,10,2012
iq,2,11,2012
iq,3,12,2012
iq,5,13,2012
iq,3,14,2012
iq,5,15,2012
iq,5,16,2012
iq,5,17,2012
iq,5,18,2012
iq,1,19,2012
iq,5,20,2012
iq,2,21,2012
iq,2,22,2012
iq,1,23,2012
iq,2,24,2012
iq,2,25,2012
iq,1,26,2012
iq,2,27,2012
iq,2,28,2012
iq,2,29,2012
iq,2,30,2012
iq,1,31,2012
iq,1,32,2012
iq,2,33,2012
iq,2,34,2012
iq,1,35,2012
iq,1,36,2012
iq,2,37,2012
iq,2,38,2012
iq,2,39,2012
iq,1,40,2012
iq,10,41,2012
iq,2,42,2012
iq,5,43,2012
iq,5,44,2012
iq,6,45,2012
iq,5,46,2012
iq,6,47,2012
iq,6,48,2012
iq,5,49,2012
iq,5,50,2012
iq,5,51,2012
iq,9,1,2013
iq,10,2,2013
iq,10,3,2013
iq,10,4,2013
iq,6,5,2013
iq,12,6,2013
iq,11,7,2013
iq,12,8,2013
iq,10,9,2013
iq,8,10,2013
iq,7,11,2013
iq,7,12,2013
iq,5,13,2013
iq,5,14,2013
iq,5,15,2013
iq,5,16,2013
iq,5,17,2013
iq,1,18,2013
iq,5,19,2013
iq,5,20,2013
iq,2,21,2013
iq,2,22,2013
iq,2,23,2013
iq,2,24,2013
iq,1,25,2013
iq,2,26,2013
